index,date,north,east,individ,gender
SEP0152406,2020-09-11,7056176,554339,NRM_1580,Hane
SEP0152407,2020-09-12,7033713,561731,BI407001,Hona
SEP0152409,2020-10-10,7059680,560329,NRM_1103,Hane
SEP0152411,2020-09-15,7057714,562165,NRM_765,Hane
SEP0152413,2020-09-28,7001809,602499,NRM_734,Hona
SEP0152417,2020-09-15,7042550,555628,BI407248,Hane
SEP0152418,2020-09-10,7034569,562610,BI407001,Hona
SEP0152421,2020-08-28,7048356,639973,NRM_766,Hane
SEP0152422,2020-08-31,7011030,637127,BI406515,Hona
SEP0152423,2020-09-27,7018942,631976,BI406701,Hane
SEP0152429,2020-09-13,7013307,633856,BI406701,Hane
SEP0152430,2020-08-21,7022234,627084,NRM_1438,Hona
SEP0152438,2020-09-14,7056378,547183,NRM_1162,Hona
SEP0152442,2020-08-24,7017908,576285,NRM_1473,Hona
SEP0152445,2020-09-25,7044307,555452,NRM_1662,Hona
SEP0152447,2020-09-05,7037908,556611,BI407124,Hona
SEP0152448,2020-09-08,7055282,544346,NRM_1162,Hona
SEP0152452,2020-08-28,7017549,578091,NRM_810,Hane
SEP0152460,2020-09-03,7046010,557655,NRM_1519,Hane
SEP0152461,2020-09-09,7045966,559313,NRM_937,Hona
SEP0152465,2020-09-17,7040875,562461,BI406591,Hona
SEP0152468,2020-09-18,7059731,561855,NRM_765,Hane
SEP0152469,2020-10-11,7021489,570780,NRM_1054,Hona
SEP0152472,2020-09-13,7041477,564087,BI406591,Hona
SEP0152475,2020-08-22,7061127,554016,NRM_765,Hane
SEP0152478,2020-10-11,7023188,572835,NRM_734,Hona
SEP0152481,2020-09-18,7041977,561272,NRM_937,Hona
SEP0152483,2020-08-21,7059961,555365,NRM_765,Hane
SEP0152484,2020-08-27,7033048,569227,NRM_1519,Hane
SEP0152485,2020-09-04,7010099,575336,NRM_734,Hona
SEP0152490,2020-08-27,7028915,570479,NRM_1054,Hona
SEP0152494,2020-09-14,7017649,578186,NRM_810,Hane
SEP0152495,2020-09-07,7041288,552287,BI407248,Hane
SEP0152581,2020-09-11,7092095,648747,BI080634,Hona
SEP0152599,2020-09-11,7092244,648250,NRM_1196,Hane
SEP0152626,2020-10-17,7069331,676294,BI407186,Hane
SEP0152672,2020-10-09,7080349,624255,NRM_768,Hona
SEP0152681,2020-10-27,7052672,695135,NRM_647,Hona
SEP0152707,2020-10-15,7056594,679052,NRM_934,Hona
SEP0152753,2020-09-27,7044212,639344,NRM_649,Hona
SEP0152762,2020-10-03,7030620,670623,NRM_953,Hane
SEP0152763,2020-09-28,7014728,580395,BI406711,Hane
SEP0152766,2020-09-14,7023119,573959,NRM_734,Hona
SEP0152767,2020-09-16,7033302,581726,NRM_1218,Hane
SEP0152780,2020-10-17,7041763,655516,NRM_1093,Hona
SEP0152802,2020-09-20,7048975,564027,NRM_1301,Hona
SEP0152805,2020-10-14,7052260,579196,NRM_662,Hane
SEP0152807,2020-09-16,7060908,552350,NRM_765,Hane
